territory,region_block,dominant_category,categories_present,site_count,row_count,main_universe,weak_fit_core,single_store_used_booksellers,single_store_bookstore_layer,single_store_used_bookstore_signal,annex_classifieds,used_book_signal_note,offline_fair_literacy_layer,confidence_mix,territory_profile,notes_compact
Uzbekistan,Central Asia,weak-fit core,annex / classifieds; main universe; offline / fair / literacy layer; single-store used booksellers; weak-fit core,7,7,1,2,1,0,0,1,Pass 90 added Kitabu as a strict-candidate book-specific sell/give/exchange app and Kitob as a provisional sale/rental/exchange startup profile.,2,high:2; low:1; medium:2; medium-high:1; medium-low:1,"Uzbekistan has a credible strict-candidate book-exchange app via Kitabu. Kitob/Kytab remains a dedupe-sensitive weak-fit startup concept: StartupBase supports sale/rental/exchange provenance, but current Kytab.uz/Play surfaces show e-library and author-distribution behavior, not live resale marketplace mechanics.","Pass92 Kitob micro-pass: no promotion, no new canonical row, no dedupe merge into Kitabu; keep Kitob/Kytab as weak-fit provisional unless live marketplace/account-flow evidence resurfaces."
Vatican City,Central Mediterranean,offline / fair / literacy layer,offline / fair / literacy layer; single-store bookstore layer,2,2,0,0,0,1,0,0,,1,high:2,Territory anchored mainly by bookstore layer rather than marketplace depth.,Major library and printed-books infrastructure; retained in literacy/institution layer. || Official Vatican publishing and bookstore rail; bookstore-layer anchor rather than marketplace.
Vietnam,Southeast Asia,single-store used / bookstore signal,annex / classifieds; single-store used / bookstore signal; weak-fit core,5,5,0,2,0,0,2,1,,0,medium:5,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,Current-session controlled pass. || Current-session controlled pass classified Vietnam as upper weak-fit.
Western Sahara / Sahrawi market surface,North/West Africa edge,annex / classifieds,annex / classifieds; external spillover / out-of-scope texture,3,3,0,0,0,0,0,2,"Used-book/recommerce signal present where noted; strict core only assigned to book-specific used/recommerce rails, not ordinary retail or general classifieds.",0,low:2; low-medium:1,"Western Sahara/Sahrawi surface remains sparse: Laâyoune general marketplace pages exist, but book-specific/local Sahrawi book rails were not verified.","Revisit only for Sahrawi-local book fairs, refugee-camp book donation/exchange, Laâyoune/Dakhla bookshop or schoolbook resale evidence; avoid Morocco/Spain/France spillover."
Yemen,Gulf / Arabian Peninsula,single-store bookstore layer,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer; single-store used booksellers; weak-fit core,17,17,0,2,1,7,0,3,"Pass118: Yemen has active used-book classifieds via OpenSooq, a Yemen-delivery used-book social storefront, and offline old/new book-vendor texture in Sana’a, but no standalone book-specific used/recommerce marketplace was verified.",4,high:5; medium:9; medium-high:3,"Conflict-caveated weak-fit/bookstore/classifieds territory. Yemen now has better remote-verifiable bookstore depth and used-book resale texture, but strict main remains empty because evidence is first-party, horizontal, social, or offline.","Pass118 reduced Yemen from broad high revisit to targeted medium. Added active bookstore-depth rows, a social used-book storefront with Yemen delivery, and Sana’a offline vendor texture; retained strict boundary against horizontal/social/offline promotion."
Zambia,Southern Africa,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer; weak-fit core,10,10,0,3,0,1,0,5,Deepening pass found used/pre-owned/social-sale signals; no book-specific platform-level used/recommerce marketplace was promoted to strict core.,1,high:4; low-medium:1; medium:5,"Zambia has stronger online bookstore and classifieds/social-sale texture, including Books Online Zambia, CityToo and Facebook Marketplace Lusaka, but no dedicated used-book marketplace verified.",Next hardening should test whether any social/group/category surfaces have open third-party book listing/search/payment/delivery mechanics beyond ordinary Facebook/classifieds flow.
Zimbabwe,Southern Africa,annex / classifieds,annex / classifieds; offline / fair / literacy layer; offline fair/literacy layer; single-store bookstore layer; weak-fit core,11,11,0,3,0,1,0,5,Deepening pass found used/pre-owned/social-sale signals; no book-specific platform-level used/recommerce marketplace was promoted to strict core.,1,high:3; medium:5; medium-high:3,"Zimbabwe has the strongest general-marketplace density in this sprint, with Everything Zimbabwean and Facebook/FB-group book resale plus offline second-hand textbook markets; still no strict book-specific used marketplace.",Next hardening should test whether any social/group/category surfaces have open third-party book listing/search/payment/delivery mechanics beyond ordinary Facebook/classifieds flow.
Venezuela,South America,annex / classifieds,annex / classifieds; annex / horizontal marketplace; annex / social marketplace; annex / social book-sale groups; weak-fit core; single-store bookstore layer; single-store used / bookstore signal; single-store used booksellers; offline / fair / literacy layer,16,16,0,1,2,0,3,6,"Pass196 hardened Venezuela: strong used-book/reuse evidence across MercadoLibre/Facebook/Locanto/Evisos, Libros.ccs operator buy/sell/exchange, Puerto de Libros used/consignment signal, Maracaibo/Valencia/Margarita used-book stores and exchange storefronts, plus FILUC and literacy/exchange layers. No public third-party book-specific marketplace mechanics verified.",4,high:3; medium-high:5; medium:8,"No-strict-main Venezuela profile after two passes: dense horizontal/social/classifieds layer, multiple operator/storefront used-book and exchange surfaces, and significant offline/literacy reuse infrastructure, but no verified Venezuela-native book-specific third-party recommerce marketplace.","Pass196 reclassified Puerto de Libros as single-store used/bookstore signal and hardened Libros.ccs as operator buy/sell/exchange weak-fit. Added regional surfaces for Maracaibo, Valencia/Carabobo and Isla de Margarita. ISBN attempt made; no visible ISBN values captured. Optional pass197 only if the roadmap wants deeper student/textbook/regional hunting; otherwise advance to Hong Kong."
Ukraine,Eastern Europe,main universe,annex / classifieds; annex / horizontal auction; main universe; offline / fair / literacy layer; single-store used / bookstore signal; weak-fit core,22,22,4,3,0,0,7,6,"Ukraine remains a strong strict/main territory after pass211: Bookstock, Liberbee, Bukinist.in.ua and BOOKMARKET.IN.UA retained; added only auction/operator/offline controls.",2,high:11; medium:2; medium-high:9,Strong strict-main Ukraine book recommerce ecosystem with several book-specific buy/sell/swap/direct-contact platforms plus broad horizontal auction/classifieds and dense bukinist operator texture.,"Pass211 targeted hardening retained strict/main candidates, added UNC.UA horizontal auction plus Stara/Modnitsa operator stores, captured no new ISBN values, and lowered revisit pressure to low."
Russia,Eastern Europe / Eurasia,main universe + operator/social/regional controls,main universe; annex horizontal/auction/classifieds; weak-fit metasearch; single-store used booksellers; social resale/group layer; offline/literacy bookcrossing layer; operator circularity/resale controls,36,36,Alib.ru; LibeX / Либекс; RusBuk / Русбук; Books.ru user selling; МоиКниги; Букшеринг; LiveLib Книгообмен; Ofeni.ru / Офени,1,Litamarket; BukinistKniga.ru; КнигаЛавка / KnigaLavka; Старый Ростов / Stary Rostov; Академия / Academics.ru; Книга Плюс / KnigaPlus.ru; Books-Life.ru; Slovobooks.ru; KnigAnt / КнигАнт; Antkniga.ru; Books-Magazin.ru; Oldbooks.ru; КупимКниги.рф,0,0,4,"Pass217 added final saturation controls: RE:BOOKS operator circularity/resale, DaruDar general gifting/books, Barahla.NET and FarPost classifieds. No new strict/main promotion; Russia strict/main set remains eight.",1,high:6; medium-high:15; medium:1,"Russia campaign now has strong file-backed strict/main set plus broad horizontal/auction/classifieds, regional operator, social/gifting and circularity controls. Pass217 found no additional strict-candidate seam; recommend closing Russia campaign for now and returning to backlog.",Pass217 final saturation: added four control rows only. Strict/main unchanged: Alib.ru; LibeX; RusBuk; Books.ru; МоиКниги; Букшеринг; LiveLib Книгообмен; Ofeni.ru. Russia revisit priority can drop from high campaign-open to medium/monitoring.
